Order,Order Date,Currency,Order Subtotal,Order Shipping Price,Order Tax Total,Order Total,Order Refunded Amount,Fulfillment Date,Fulfillment Type,Fulfillment Status,Channels,Fulfillment Location,Item Quantity,Item SKU,Item Variation,Item Price,Item Options Total Price,Item Total Price,Item ID,Modifier ID
Square Online 611053435,2025/10/01,USD,8.0,,0.62,9.62,,"10/01/2025, 12:30 PM",Pickup,Completed,Mosa Tea,Mosa Tea,1,,Regular,7.0,8.0,8.62,MTI0030,MTM0085
,2025/10/01,USD,13.75,,1.07,16.88,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,7.0,7.54,MTI0030,MTM0155
,2025/10/01,USD,13.75,,1.07,16.88,,,,,Mosa Tea,Mosa Tea,1,,Regular,6.75,6.75,7.28,MTI0021,MTM0155
,2025/10/01,USD,6.75,,0.52,8.27,,,,,Mosa Tea,Mosa Tea,1,,Regular,6.75,6.75,7.27,MTI0021,MTM0037
,2025/10/01,USD,6.5,,0.51,8.01,,,,,Mosa Tea,Mosa Tea,1,,Regular,6.5,6.5,7.01,MTI0001,MTM0003
,2025/10/01,USD,8.0,,0.62,8.62,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,8.0,8.62,MTI0002,MTM0585
,2025/10/01,USD,6.0,,0.47,7.47,,,,,Mosa Tea,Mosa Tea,1,,,6.0,6.0,6.47,MTI0034,MTM0023
,2025/10/01,USD,26.5,,2.06,32.54,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,7.0,7.54,MTI0002,MTM0128
,2025/10/01,USD,26.5,,2.06,32.54,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,7.0,7.55,MTI0002,MTM0190
,2025/10/01,USD,26.5,,2.06,32.54,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,7.0,7.54,MTI0030,MTM0080
,2025/10/01,USD,26.5,,2.06,32.54,,,,,Mosa Tea,Mosa Tea,1,,Regular,5.5,5.5,5.93,MTI0023,MTM0080
,2025/10/01,USD,8.0,,0.62,8.62,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,8.0,8.62,MTI0002,MTM0592
,2025/10/01,USD,6.5,,0.51,7.01,,,,,Mosa Tea,Mosa Tea,1,,,6.5,6.5,7.01,MTI0011,MTM0487
,2025/10/01,USD,7.75,,0.6,8.35,,,,,Mosa Tea,Mosa Tea,1,,Regular,7.0,7.75,8.35,MTI0030,MTM0004
